,,,,,
,,THEME,QUESTION,SQL,KEY PURPOSE
,,CTR/CVR,Daily CTR and CVR by campaign.,"SELECT date_trunc('day', i.ts) AS d, i.campaign_id, count() AS impressions, count(c.click_id) AS clicks, count(b.booking_id) AS bookings, 1.0 * count(c.click_id) / count() AS ctr, 1.0 * count(b.booking_id) / NULLIF(count(c.click_id),0) AS cvr FROM ad_impressions i LEFT JOIN ad_clicks c ON c.user_id=i.user_id AND c.campaign_id=i.campaign_id AND c.ts BETWEEN i.ts AND i.ts + INTERVAL '1' day LEFT JOIN bookings b ON b.user_id=i.user_id AND b.ts BETWEEN i.ts AND i.ts + INTERVAL '7' day GROUP BY 1,2","Conditional joins, NULLIF"
,,ROAS,ROAS by channel per day.,"SELECT s.dt, s.channel, sum(s.spend) AS spend, sum(b.rev) AS revenue, 1.0*sum(b.rev)/NULLIF(sum(s.spend),0) AS roas FROM channel_spend s LEFT JOIN ( SELECT date_trunc('day', b.ts) AS dt, sess.channel, sum(b.payout) AS rev FROM bookings b JOIN sessions sess ON b.session_id=sess.session_id GROUP BY 1,2 ) b ON s.dt=b.dt AND s.channel=b.channel GROUP BY 1,2",Spend join to booked revenue
,,Last-touch,Last channel before booking (per booking).,"SELECT b.booking_id, max_by(sess.channel, sess.start_ts) AS last_touch FROM bookings b JOIN sessions sess ON b.user_id=sess.user_id AND sess.start_ts <= b.ts GROUP BY 1","max_by(val, sort_by)"
,,LTV 90d,90-day LTV by signup cohort month.,"WITH u AS ( SELECT user_id, date_trunc('month', signup_ts) AS cohort FROM users ), r AS ( SELECT u.cohort, b.user_id, sum(b.payout) AS rev FROM u JOIN bookings b ON u.user_id=b.user_id AND b.ts <= u.cohort + INTERVAL '90' day GROUP BY 1,2 ) SELECT cohort, count(DISTINCT user_id) AS users, 1.0*sum(rev)/NULLIF(count(DISTINCT user_id),0) AS ltv_90d FROM r GROUP BY 1 ORDER BY 1",Cohorts + horizon
,,Funnel,Session-level funnel rates (view→checkout→book).,"WITH step AS ( SELECT e.session_id, max(CASE WHEN event='view' THEN 1 END) AS v, max(CASE WHEN event='start_checkout' THEN 1 END) AS sc, max(CASE WHEN event='book' THEN 1 END) AS bk FROM events e GROUP BY 1 ) SELECT count() AS sessions, 1.0sum(v)/count() AS p_view, 1.0sum(sc)/NULLIF(sum(v),0) AS p_sc_given_view, 1.0*sum(bk)/NULLIF(sum(sc),0) AS p_book_given_sc FROM step",Binary step flags
,,Rolling,7-day rolling bookings per channel.,"SELECT date_trunc('day', b.ts) AS d, s.channel, sum(b.payout) AS rev, sum(sum(b.payout)) OVER (PARTITION BY s.channel ORDER BY date_trunc('day', b.ts) ROWS BETWEEN 6 PRECEDING AND CURRENT ROW) AS rev_7d FROM bookings b JOIN sessions s ON b.session_id=s.session_id GROUP BY 1,2",Window with frame
,,Retention,Month-N retention from signup.,"WITH a AS ( SELECT user_id, date_trunc('month', signup_ts) AS cohort FROM users ), m AS ( SELECT DISTINCT e.user_id, date_trunc('month', e.ts) AS active_m FROM events e ) SELECT cohort, month_diff(cohort, active_m) AS m_n, count(DISTINCT m.user_id) AS active_users FROM a JOIN m ON a.user_id=m.user_id GROUP BY 1,2 ORDER BY 1,2",month_diff helper
,,A/B mean,A/B diff in booking rate with stats.,"WITH base AS ( SELECT t.variant, count() AS users, count_if(b.booking_id IS NOT NULL) AS booked FROM ( SELECT user_id, variant FROM experiment_assignments ) t LEFT JOIN bookings b ON b.user_id=t.user_id GROUP BY 1 ), stats AS ( SELECT * , 1.0booked/users AS cr FROM base ) SELECT sA.cr AS cr_A, sB.cr AS cr_B, (sB.cr - sA.cr) AS diff, ( sA.cr*(1-sA.cr)/sA.users + sB.cr*(1-sB.cr)/sB.users ) AS var, (sB.cr - sA.cr)/sqrt(var) AS z FROM stats sA CROSS JOIN stats sB WHERE sA.variant='A' AND sB.variant='B'","count_if, z-score"
,,CUPED,CUPED-style adjusted mean for A/B.,"WITH d AS ( SELECT t.variant, u.user_id, COALESCE(pre.pre_rev,0.0) AS x, COALESCE(post.post_rev,0.0) AS y FROM experiment_assignments t JOIN users u ON t.user_id=u.user_id LEFT JOIN ( SELECT user_id, sum(payout) AS pre_rev FROM bookings WHERE ts < date '2025-01-01' GROUP BY 1 ) pre USING (user_id) LEFT JOIN ( SELECT user_id, sum(payout) AS post_rev FROM bookings WHERE ts >= date '2025-01-01' GROUP BY 1 ) post USING (user_id) ), theta AS ( SELECT covar_samp(y,x)/NULLIF(var_samp(x),0) AS th FROM d ) SELECT variant, avg(y - th*(x - avg(x) OVER())) AS cuped_mean FROM d CROSS JOIN theta GROUP BY 1","covar_samp, var_samp, CUPED"
,,DiD,Geo DiD on bookings before/after launch.,"WITH g AS ( SELECT geo, CASE WHEN geo IN ('US_TX','US_FL') THEN 1 ELSE 0 END AS trt FROM sessions GROUP BY 1,2 ), ba AS ( SELECT CASE WHEN b.ts < date '2025-06-01' THEN 0 ELSE 1 END AS post, s.geo, count(*) AS books FROM bookings b JOIN sessions s ON b.session_id=s.session_id GROUP BY 1,2 ) SELECT post, trt, sum(books) AS n FROM ba JOIN g USING (geo) GROUP BY 1,2",2x2 cells; DiD computed in tool or add SQL for deltas
