,Level 1,,Level 2,,Level 3
,Query Fundamentals,,Basic Operations,,SELECT Statements
,Query Fundamentals,,Basic Operations,,FROM Clause
,Query Fundamentals,,Basic Operations,,WHERE Clause
,Query Fundamentals,,Basic Operations,,Sorting & Grouping
,Query Fundamentals,,Aggregate Functions,,Statistical Functions
,Query Fundamentals,,Aggregate Functions,,Advanced Statistical
,Query Fundamentals,,Joins & Relationships,,Inner Joins
,Query Fundamentals,,Joins & Relationships,,Outer Joins
,Query Fundamentals,,Joins & Relationships,,Advanced Joins
,Query Fundamentals,,Subqueries,,Scalar Subqueries
,Query Fundamentals,,Subqueries,,Table Subqueries
,Query Fundamentals,,Subqueries,,Correlated Subqueries
,Advanced Queries,,Window Functions,,Ranking Functions
,Advanced Queries,,Window Functions,,Aggregate Windows
,Advanced Queries,,Common Table Expressions,,Basic CTEs
,Advanced Queries,,Common Table Expressions,,Recursive CTEs
,Advanced Queries,,Set Operations,,UNION
,Advanced Queries,,Set Operations,,INTERSECT
,Advanced Queries,,Set Operations,,EXCEPT/MINUS
,Advanced Queries,,Pivoting & Unpivoting,,PIVOT Operations
,Advanced Queries,,Pivoting & Unpivoting,,UNPIVOT Operations
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,"Core Retrieval, Filtering, & Sorting",,,,
,,,,,
,,,,,
,,,,,
,CATEGORY,,SYNTAX,,PURPOSE
,,,,,
,,,,,
,Data Retrieval,,"SELECT, FROM catalog.schema.table",,"Select data from federated sources (e.g., hive.events.bookings)."
,Filtering,,"WHERE condition, IN, BETWEEN, LIKE, IS NULL",,"Isolate specific user segments, geographies, or time frames."
,Grouping,,"GROUP BY, HAVING",,"Calculate campaign performance metrics (e.g., CTR, Conversion Rate)."
,Transformation,,"CASE WHEN...END, CAST(), COALESCE()",,"Create custom user buckets, flag high-value bookings, or handle missing data."
,Integration,,"JOIN, UNION ALL",,Link campaign data to booking data; combine multiple campaign reports.
,Complexity,,WITH (CTE),,Structure multi-step transformation logic for readability and re-use.
,Sequencing,,"LAG(), LEAD()",,Track user journey steps; analyze time between marketing touchpoints and booking.
,Ranking,,"RANK(), ROW_NUMBER()",,Identify top-performing campaigns or the first/last touchpoint in a conversion path.
,Rolling Metrics,,ROWS BETWEEN...,,Calculate moving averages of booking value or cumulative marketing spend.
,,,,,
,,,,,
,,,,,
,,,,,
,SYNTAX,,EXAMPLE,,SQL QUERY
,,,,,
,,,,,
,,,,,
,Aggregation and Grouping (Metrics Calculation),,,,
,,,,,
,,,,,
,,,,,
,Basic Retrieval,,"Get the ID, channel, and spend for all active campaigns.",,"SELECT campaign_id, marketing_channel, campaign_spend FROM airbnb.marketing.campaigns WHERE is_active = TRUE;"
,Presto Naming,,Referencing the bookings table stored in the hive catalog under the events schema.,,FROM hive.events.bookings AS b
,IN Operator,,Filter for bookings originating from either the 'SEO' or 'Email' channel.,,"WHERE marketing_channel IN ('SEO', 'Email')"
,BETWEEN,,Filter booking events that occurred during the Q3 2024 campaign window.,,WHERE event_timestamp BETWEEN DATE '2024-07-01' AND DATE '2024-09-30'
,LIKE,,"Find all listings with 'Luxury' or 'Deluxe' in their title, regardless of capitalization.",,WHERE LOWER(listing_title) LIKE '%luxury%' OR LOWER(listing_title) LIKE '%deluxe%'
,IS NULL / IS NOT NULL,,Identify campaign clicks that were not immediately followed by a booking (null booking ID).,,WHERE booking_id IS NULL AND event_type = 'click'
,Sorting,,Rank the top 10 most expensive properties in San Francisco to target for a premium campaign.,,"SELECT listing_id, nightly_price FROM airbnb.listings.properties WHERE city = 'SF' ORDER BY nightly_price DESC LIMIT 10;"
,,,,,
,,,,,
,,,,,
,Conditional Logic & Transformation,,,,
,,,,,
,,,,,
,,,,,
,Simple CASE,,Create a Booking_Tier flag based on the value of the booking.,,"SELECT booking_id, CASE WHEN booking_value > 500 THEN 'Premium' WHEN booking_value > 100 THEN 'Standard' ELSE 'Budget' END AS booking_tier FROM airbnb.bookings.events;"
,COALESCE,,Replace NULL values in the host_review_score with a default of 0.0 before calculating an average.,,"SELECT AVG(COALESCE(host_review_score, 0.0)) FROM airbnb.listings.properties;"
