DATA VISUALIZATION - COMPREHENSIVE TAXONOMY

Level 1	Level 2	Level 3	Level 4	Level 5	Level 6
Visualization Fundamentals	Core Concepts	Data Viz Basics	Fundamental Principles	Purpose	Insight Discovery
Visualization Fundamentals	Core Concepts	Data Viz Basics	Fundamental Principles	Purpose	Decision Support
Visualization Fundamentals	Core Concepts	Data Viz Basics	Fundamental Principles	Purpose	Communication
Visualization Fundamentals	Core Concepts	Data Viz Basics	Fundamental Principles	Purpose	Pattern Recognition
Visualization Fundamentals	Core Concepts	Data Viz Basics	Data Types	Data Categories	Categorical Data
Visualization Fundamentals	Core Concepts	Data Viz Basics	Data Types	Data Categories	Numerical Data
Visualization Fundamentals	Core Concepts	Data Viz Basics	Data Types	Data Categories	Temporal Data
Visualization Fundamentals	Core Concepts	Data Viz Basics	Data Types	Data Categories	Spatial Data
Visualization Fundamentals	Core Concepts	Data Viz Basics	Data Types	Data Categories	Hierarchical Data
Visualization Fundamentals	Core Concepts	Data Viz Basics	Data Types	Data Categories	Network Data
Visualization Fundamentals	Core Concepts	Visual Encoding	Encoding Channels	Primary Encodings	Position
Visualization Fundamentals	Core Concepts	Visual Encoding	Encoding Channels	Primary Encodings	Length
Visualization Fundamentals	Core Concepts	Visual Encoding	Encoding Channels	Primary Encodings	Angle
Visualization Fundamentals	Core Concepts	Visual Encoding	Encoding Channels	Primary Encodings	Area
Visualization Fundamentals	Core Concepts	Visual Encoding	Encoding Channels	Secondary Encodings	Color (Hue)
Visualization Fundamentals	Core Concepts	Visual Encoding	Encoding Channels	Secondary Encodings	Color (Saturation)
Visualization Fundamentals	Core Concepts	Visual Encoding	Encoding Channels	Secondary Encodings	Color (Brightness)
Visualization Fundamentals	Core Concepts	Visual Encoding	Encoding Channels	Secondary Encodings	Shape
Visualization Fundamentals	Core Concepts	Visual Encoding	Encoding Channels	Secondary Encodings	Texture
Visualization Fundamentals	Core Concepts	Visual Encoding	Encoding Channels	Secondary Encodings	Size
Visualization Fundamentals	Perception & Cognition	Human Perception	Visual Perception	Preattentive Processing	Color Detection
Visualization Fundamentals	Perception & Cognition	Human Perception	Visual Perception	Preattentive Processing	Motion Detection
Visualization Fundamentals	Perception & Cognition	Human Perception	Visual Perception	Preattentive Processing	Form Detection
Visualization Fundamentals	Perception & Cognition	Human Perception	Visual Perception	Gestalt Principles	Proximity
Visualization Fundamentals	Perception & Cognition	Human Perception	Visual Perception	Gestalt Principles	Similarity
Visualization Fundamentals	Perception & Cognition	Human Perception	Visual Perception	Gestalt Principles	Continuity
Visualization Fundamentals	Perception & Cognition	Human Perception	Visual Perception	Gestalt Principles	Closure
Visualization Fundamentals	Perception & Cognition	Human Perception	Visual Perception	Gestalt Principles	Figure-Ground
Visualization Fundamentals	Perception & Cognition	Human Perception	Cognitive Load	Load Management	Working Memory
Visualization Fundamentals	Perception & Cognition	Human Perception	Cognitive Load	Load Management	Attention
Visualization Fundamentals	Perception & Cognition	Human Perception	Cognitive Load	Load Management	Information Processing
Chart Types	Comparison Charts	Bar Charts	Bar Chart Variants	Vertical Bars	Column Chart
Chart Types	Comparison Charts	Bar Charts	Bar Chart Variants	Vertical Bars	Stacked Column Chart
Chart Types	Comparison Charts	Bar Charts	Bar Chart Variants	Vertical Bars	Grouped Column Chart
Chart Types	Comparison Charts	Bar Charts	Bar Chart Variants	Horizontal Bars	Bar Chart
Chart Types	Comparison Charts	Bar Charts	Bar Chart Variants	Horizontal Bars	Stacked Bar Chart
