I'll create a comprehensive structured table of analytics and marketing metrics organized by category, primary metrics, and sub-metrics.

## Analytics and Marketing Metrics - Structured Reference

### Website and Traffic Analytics

| Primary Metric | Sub-Metrics | Description |
|----------------|-------------|-------------|
| **Traffic Volume** | • Unique Visitors<br>• Total Visits<br>• Page Views<br>• Sessions | Core measurements of website activity |
| **Traffic Sources** | • Organic Search Traffic<br>• Direct Traffic<br>• Referral Traffic<br>• Social Media Traffic<br>• Email Traffic<br>• Paid Traffic<br>• Campaign Traffic | Origin breakdown of visitor acquisition |
| **User Demographics** | • Geographic Location (Country/Region/City)<br>• Language<br>• Age Groups<br>• Gender<br>• Interests/Affinity Categories | Audience composition data |
| **Technical Metrics** | • Device Type (Desktop/Mobile/Tablet)<br>• Browser Type<br>• Operating System<br>• Screen Resolution<br>• Connection Speed | Technical environment analysis |
| **Site Performance** | • Page Load Time<br>• Server Response Time<br>• Time to Interactive<br>• First Contentful Paint<br>• DNS Lookup Time | Speed and performance indicators |

### User Behavior and Engagement

| Primary Metric | Sub-Metrics | Description |
|----------------|-------------|-------------|
| **Engagement Depth** | • Session Duration<br>• Pages per Session<br>• Average Time on Page<br>• Scroll Depth<br>• Rage Clicks | How deeply users interact with content |
| **Navigation Patterns** | • Bounce Rate<br>• Exit Rate<br>• Internal Search Usage<br>• Site Search Terms<br>• Click Patterns (Heat Maps) | How users move through the site |
| **User Journey** | • User Flow<br>• Path Analysis<br>• Goal Flow<br>• Reverse Goal Path<br>• Multi-Channel Funnels | Complete journey mapping |
| **Interaction Tracking** | • Event Completions<br>• Video Plays<br>• Downloads<br>• Form Submissions<br>• Button Clicks | Specific user actions |
| **Cohort Analysis** | • New vs Returning Visitors<br>• Time-Based Cohorts<br>• Behavior-Based Cohorts<br>• Retention Curves | User group behavior over time |

### Conversion and Sales Metrics

| Primary Metric | Sub-Metrics | Description |
|----------------|-------------|-------------|
| **Conversion Rates** | • Overall Conversion Rate<br>• Goal Conversion Rate<br>• Micro-Conversion Rate<br>• Macro-Conversion Rate<br>• Assisted Conversions | Success rate measurements |
| **E-commerce Metrics** | • Revenue<br>• Transactions<br>• Average Order Value<br>• Items per Order<br>• Product Performance | Direct sales measurements |
| **Shopping Behavior** | • Cart Abandonment Rate<br>• Checkout Abandonment Rate<br>• Add-to-Cart Rate<br>• Cart-to-Detail Rate<br>• Buy-to-Detail Rate | Purchase funnel analysis |
