MACHINE LEARNING & AI - COMPREHENSIVE TAXONOMY

Level 1	Level 2	Level 3	Level 4	Level 5	Level 6
Machine Learning Fundamentals	ML Core Concepts	Learning Types	Supervised Learning	Classification	Binary Classification
Machine Learning Fundamentals	ML Core Concepts	Learning Types	Supervised Learning	Classification	Multi-class Classification
Machine Learning Fundamentals	ML Core Concepts	Learning Types	Supervised Learning	Regression	Linear Regression
Machine Learning Fundamentals	ML Core Concepts	Learning Types	Supervised Learning	Regression	Polynomial Regression
Machine Learning Fundamentals	ML Core Concepts	Learning Types	Supervised Learning	Regression	Logistic Regression
Machine Learning Fundamentals	ML Core Concepts	Learning Types	Unsupervised Learning	Clustering	K-Means Clustering
Machine Learning Fundamentals	ML Core Concepts	Learning Types	Unsupervised Learning	Clustering	Hierarchical Clustering
Machine Learning Fundamentals	ML Core Concepts	Learning Types	Unsupervised Learning	Clustering	DBSCAN
Machine Learning Fundamentals	ML Core Concepts	Learning Types	Unsupervised Learning	Dimensionality Reduction	PCA (Principal Component Analysis)
Machine Learning Fundamentals	ML Core Concepts	Learning Types	Unsupervised Learning	Dimensionality Reduction	t-SNE
Machine Learning Fundamentals	ML Core Concepts	Learning Types	Unsupervised Learning	Association Rules	Apriori Algorithm
Machine Learning Fundamentals	ML Core Concepts	Learning Types	Unsupervised Learning	Association Rules	ECLAT Algorithm
Machine Learning Fundamentals	ML Core Concepts	Learning Types	Semi-Supervised Learning	Hybrid Approaches	Self-Training
Machine Learning Fundamentals	ML Core Concepts	Learning Types	Semi-Supervised Learning	Hybrid Approaches	Co-Training
Machine Learning Fundamentals	ML Core Concepts	Learning Types	Self-Supervised Learning	Representation Learning	Contrastive Learning
Machine Learning Fundamentals	ML Core Concepts	Learning Types	Self-Supervised Learning	Representation Learning	Predictive Coding
Machine Learning Fundamentals	Classical Algorithms	Linear Models	Regression Algorithms	Simple Regression	Ordinary Least Squares
Machine Learning Fundamentals	Classical Algorithms	Linear Models	Regression Algorithms	Regularized Regression	Ridge Regression
Machine Learning Fundamentals	Classical Algorithms	Linear Models	Regression Algorithms	Regularized Regression	Lasso Regression
Machine Learning Fundamentals	Classical Algorithms	Linear Models	Regression Algorithms	Regularized Regression	Elastic Net
Machine Learning Fundamentals	Classical Algorithms	Tree-Based Models	Decision Trees	Classification Trees	CART Algorithm
Machine Learning Fundamentals	Classical Algorithms	Tree-Based Models	Decision Trees	Regression Trees	Pruning Techniques
Machine Learning Fundamentals	Classical Algorithms	Tree-Based Models	Ensemble Methods	Bagging	Random Forest
Machine Learning Fundamentals	Classical Algorithms	Tree-Based Models	Ensemble Methods	Boosting	AdaBoost
Machine Learning Fundamentals	Classical Algorithms	Tree-Based Models	Ensemble Methods	Boosting	Gradient Boosting
Machine Learning Fundamentals	Classical Algorithms	Tree-Based Models	Ensemble Methods	Boosting	XGBoost
Machine Learning Fundamentals	Classical Algorithms	Tree-Based Models	Ensemble Methods	Boosting	LightGBM
Machine Learning Fundamentals	Classical Algorithms	Tree-Based Models	Ensemble Methods	Boosting	CatBoost
Machine Learning Fundamentals	Classical Algorithms	Support Vector Machines	SVM Types	Classification SVM	Linear SVM
Machine Learning Fundamentals	Classical Algorithms	Support Vector Machines	SVM Types	Classification SVM	Non-linear SVM
Machine Learning Fundamentals	Classical Algorithms	Support Vector Machines	SVM Types	Regression SVM	Support Vector Regression
Machine Learning Fundamentals	Classical Algorithms	Support Vector Machines	Kernel Methods	Kernel Functions	RBF Kernel
Machine Learning Fundamentals	Classical Algorithms	Support Vector Machines	Kernel Methods	Kernel Functions	Polynomial Kernel
Machine Learning Fundamentals	Classical Algorithms	Probabilistic Models	Naive Bayes	Naive Bayes Types	Gaussian Naive Bayes
Machine Learning Fundamentals	Classical Algorithms	Probabilistic Models	Naive Bayes	Naive Bayes Types	Multinomial Naive Bayes
Machine Learning Fundamentals	Classical Algorithms	Instance-Based Learning	Nearest Neighbors	KNN Variants	K-Nearest Neighbors
Machine Learning Fundamentals	Classical Algorithms	Instance-Based Learning	Nearest Neighbors	Distance Metrics	Euclidean Distance
Machine Learning Fundamentals	Classical Algorithms	Instance-Based Learning	Nearest Neighbors	Distance Metrics	Manhattan Distance
