This is a comprehensive structure. Below is an expanded version with suggested metrics and KPIs for both **Airbnb** and **Shopify**, as requested. The metrics are tailored to the respective business models and how each channel supports their objectives.

## Digital Marketing Channels - Metrics and KPIs

| Channel | Airbnb: Examples of Metrics & KPIs | Shopify: Examples of Metrics & KPIs |
| :--- | :--- | :--- |
| **Paid Digital Channels** | | |
| **Search Marketing** | | |
| *Paid Search (SEM/PPC)* | **Metrics:** Impressions, Clicks, Click-Through Rate (CTR), Cost, Cost-Per-Click (CPC). | **Metrics:** Impressions, Clicks, CTR, Cost, CPC, Trial Sign-ups. |
| | **KPIs:** **Cost Per Booking/Lead (CPA)**, **Return on Ad Spend (ROAS)** for bookings, **Booking Conversion Rate**, **Share of Voice** (Brand vs. Non-Brand). | **KPIs:** **Cost Per Trial Sign-up**, **Cost Per Paid Subscription (CPA)**, **ROAS**, **Lead-to-Subscription Conversion Rate**, **Average Contract Value (ACV)** of acquired merchants. |
| *Shopping Ads (for Experiences)* | **KPIs:** Experience booking conversion rate, ROAS for experiences, Average Booking Value. | N/A (Less relevant for core subscription product). |
| **Social Media Advertising** | | |
| *Facebook/Instagram Ads, TikTok Ads, etc.* | **Metrics:** Reach, Frequency, Engagement Rate (Likes, Comments, Shares), Video Views, Ad Recall. | **Metrics:** Reach, Frequency, Engagement Rate, Clicks, Cost Per Click. |
| | **KPIs (Upper Funnel):** **Cost Per Engaged User**, **Brand Lift** (Awareness, Consideration). | **KPIs (Upper Funnel):** **Cost Per Qualified Lead (MQL/SQL)**, **Content Download Rate**. |
| | **KPIs (Lower Funnel):** **Cost Per App Install**, **CPA for Bookings**, **ROAS**. | **KPIs (Lower Funnel):** **Cost Per Trial Sign-up**, **Merchant Acquisition Cost (MAC/CAC)**. |
| *LinkedIn Ads (B2B for Airbnb for Work)* | **KPIs:** **Cost Per Lead (CPL)**, **Lead Quality Score**, **Lead-to-Opportunity Rate**. | **KPIs:** **CPL** for larger Shopify Plus merchants, **Cost Per Webinar Registration**, **Sales Qualified Lead (SQL) Volume**. |
| **Display & Programmatic** | | |
| *Display, Retargeting, Native, CTV* | **Metrics:** Impressions, Viewability Rate, Clicks, Effective CPM (eCPM). | **Metrics:** Impressions, Viewability Rate, Clicks, eCPM. |
| | **KPIs:** **Post-View/Post-Click Conversion Rate**, **Vistor-to-Host/Guest Conversion Rate**, **Lift in Brand Search Volume** (Brand Awareness). | **KPIs:** **Post-View/Post-Click Trial Sign-ups**, **Site Visitor Volume**, **Retargeting ROAS** (focused on re-engaging dropped trials). |
| **Video Advertising** | | |
| *YouTube, Pre-roll, Social Video* | **Metrics:** Video Completion Rate (VCR) 25%, 50%, 75%, 100%, Cost Per View (CPV). | **Metrics:** VCR, CPV, Click-to-Website Rate. |
| | **KPIs:** **Brand Recall/Familiarity Lift**, **Ad Sentiment Score**, **CP*A* for bookings driven by specific video calls to action**. | **KPIs:** **Trial Sign-up Rate from Video**, **Cost Per MQL**, **Branded Search Lift after campaign**. |
| **Organic Digital Channels** | | |
| **Search Engine Optimization (SEO)** | | |
| *On-page, Technical, Content, Local, International SEO* | **Metrics:** Organic Impressions, Organic Clicks, Average Position, Crawl Budget. | **Metrics:** Organic Impressions, Organic Clicks, Average Position, Number of Ranking Keywords (especially for long-tail "how-to" commerce terms). |
| | **KPIs:** **Organic Traffic Volume** (to listing and content pages), **Organic Conversion Rate** (Searcher-to-Booker/Host), **Share of Voice** in high-value non-brand keywords (e.g., "best vacation spots"). | **KPIs:** **Organic Trial Sign-ups**, **Non-Brand Organic Revenue/Leads**, **Time to First Subscription** from Organic traffic. |
| **Social Media (Organic)** | | |
| *Facebook, Instagram, TikTok, etc.* | **Metrics:** Follower Growth, Reach, Impressions, Engagement Rate (ER), Saves, Shares. | **Metrics:** Follower Growth, Reach, Impressions, ER, Comments on value-based content. |
| | **KPIs:** **Audience Quality Score**, **Traffic from Social to Listings**, **Virality Rate** (for UGC campaigns), **Host/Guest Sentiment Score**. | **KPIs:** **Social Referral Traffic to Blog/Trial Page**, **Content Shares by Merchants**, **Community Engagement Rate** (for merchant forums/groups). |
| **Content Marketing** | | |
| *Blog, Guides, UGC, Video, Podcasts* | **Metrics:** Time on Page, Bounce Rate, Content Downloads, Scroll Depth. | **Metrics:** Time on Page, Bounce Rate, Content Downloads (eBooks, guides), Lead Form Submissions. |
| | **KPIs:** **Content-Assisted Conversions** (bookings that viewed content), **Cost Per Content Download/Lead**, **Lead Nurturing Progression**. | **KPIs:** **Lead Generation from Content**, **Content-Qualified Lead (CQL) to SQL Conversion Rate**, **Content Library Usage** (by current merchants). |
| **Performance & Affiliate Channels** | | |
| **Affiliate Marketing** | | |
| *Networks, Cashback, Coupon, Content Affiliates* | **Metrics:** Affiliate Clicks, Cookie Duration. | **Metrics:** Affiliate Clicks, Redemption Rate (for partnership deals). |
| | **KPIs:** **Affiliate ROAS**, **CPA by Affiliate Type**, **Incrementality of Affiliate Bookings** (ensuring they aren't cannibalizing direct traffic). | **KPIs:** **Affiliate-Driven Trial Sign-ups**, **Cost Per Acquisition (CPA)** from partners, **Average Merchant Size** from affiliate channel. |
| **Partnership Marketing** | | |
| *Co-marketing, Strategic Brand, Travel Industry* | **KPIs:** **New User Acquisition Volume** from partner campaigns, **Cross-Promotion Conversion Rate**, **Joint Venture Revenue Share**, **Brand Exposure Value**. | **KPIs:** **Co-Branded Lead Volume**, **Merchant Success Rate** (from partner integrations), **Lifetime Value (LTV)** of merchants acquired through partnerships. |
| **Direct & Owned Channels** | | |
| **Email Marketing** | | |
| *Promotional, Triggered, Lifecycle, Newsletters* | **Metrics:** Open Rate (OR), Click-Through Rate (CTR), Unsubscribe Rate. | **Metrics:** OR, CTR, Conversion Rate of email link. |
| | **KPIs:** **Email-Driven Bookings/Hosts Created**, **Revenue Per Email Sent (RPES)**, **List Growth Rate**, **Churn Rate Reduction** (via re-engagement emails). | **KPIs:** **Email-Driven Trial Sign-ups/Upgrades**, **LTV of Email-Acquired Merchants**, **Cart Abandonment Recovery Rate** (for e-commerce merchants using Shopify). |
| **App Marketing** | | |
| *ASO, In-App, Deep Linking* | **Metrics:** App Store Impressions, Installs, Uninstall Rate, Deep Link Clicks. | **Metrics:** App Store Impressions, Installs, In-App Event Completion. |
| | **KPIs:** **Cost Per Install (CPI)**, **Mobile Booking Conversion Rate**, **User Retention Rate (D7, D30)**, **In-App Revenue**. | **KPIs:** **CPI (for *Shopify Partner App Store*)**, **App Store Optimization (ASO) Conversion Rate**, **Active Monthly/Daily Users (AMU/DAU)**. |
| **Referral & Word-of-Mouth** | | |
| **Referral Programs** | **Metrics:** Referral Submissions, Referral Link Clicks. | **Metrics:** Referral Sign-ups, Referral Payouts. |
| | **KPIs:** **Referral Conversion Rate**, **CPA of Referred Users** (should be low), **LTV of Referred Users** (often higher). | **KPIs:** **Referral-Driven Subscriptions**, **Net Promoter Score (NPS)** (a key driver of referrals). |
| **Influencer Marketing** | | |
| *Macro/Micro/Nano-influencers, Ambassadors* | **Metrics:** Earned Media Value (EMV), Impressions, Engagement on Sponsored Content. | **Metrics:** EMV, Impressions, Code Redemption Rate. |
| | **KPIs:** **CPA from Influencer Code Usage**, **Audience Quality/Authenticity Score**, **Brand Sentiment Shift**. | **KPIs:** **Cost Per Trial Sign-up** (via influencer links), **Code Usage Volume**, **LTV of Influencer-Acquired Merchants**. |
| **Traditional/Offline Channels** | | |
| *Television, OOH, Radio, Print, Direct Mail* | **Metrics:** Gross Rating Points (GRP), Impressions, Frequency, Reach, Media Spend. | **Metrics:** GRP, Media Spend, Direct Call/URL Visits. |
| | **KPIs:** **Brand Lift Study Results** (Awareness, Intent), **Geo-Lift** (Change in bookings in advertised vs. control regions), **Website Direct Traffic Lift** during campaign. | **KPIs:** **Geo-Lift in Trial Sign-ups**, **Uplift in Brand Search Volume** in target markets, **Response Rate** (for targeted Direct Mail to high-value businesses). |

***

## Key Analytics Considerations:

| Consideration | Airbnb Focus | Shopify Focus |
| :--- | :--- | :--- |
| **Attribution Models** | Multi-touch (e.g., U-shaped, data-driven) is critical to value both the upper-funnel brand campaigns (e.g., CTV) and the lower-funnel performance channels (e.g., SEM) that drive the final booking. | Multi-touch is important for tracking leads through the marketing/sales funnel (from first content view to paid subscription). Often relies heavily on first-touch or lead-creation touch for initial lead score. |
| **Incrementality Testing** | High priority for **Paid Search** (to ensure brand spend isn't cannibalizing organic traffic) and **Retargeting/Display** (to confirm ads cause a booking that wouldn't have happened naturally). | Crucial for **Paid Social** and **Programmatic** to ensure acquired merchants are *new* and not just accelerated sign-ups. Testing on promotional offers (e.g., extended free trials). |
| **Marketing Mix Modeling (MMM)** | Essential for allocating budget between **Traditional (TV/OOH)** and **Digital (Meta/Google)** to understand the overall macro-impact on **Total Bookings/Nights Booked**. | Important for macro-budget allocation across product lines (Shopify vs. Shopify Plus vs. Partner Program) and overall **Subscription Revenue Growth**. |
| **Channel-specific KPIs** | Focus on **CAC** (Host vs. Guest), **LTV** (High LTV Guest/Host segments), **Nights Booked**, **Listing Quality/Satisfaction Score**, and **ROAS** (for specific booking funnels). | Focus on **MAC/CAC** (Subscription Cost), **LTV** (Merchant Lifetime Value), **Churn Rate**, **Average Contract Value (ACV)**, and **Lead Quality Score**. |
| **Cross-channel Measurement Challenges** | Linking **Offline (TV)** exposure to online booking behavior. Measuring the value of **Host Acquisition** efforts which have a very long conversion cycle compared to Guest bookings. | Measuring the collective impact of marketing on **Partner/Developer Ecosystem Growth** which indirectly drives merchant acquisition. Attributing value in a B2B sales cycle that involves multiple decision-makers. |
| **Upper vs. Lower Funnel Metrics** | **Upper:** Brand awareness, Brand Search Volume, Brand Lift, Ad Recall, CPV. **Lower:** CPA, ROAS, Booking Conversion Rate, Install Rate. | **Upper:** Lead Volume, Content Downloads, MQL Volume, Cost Per Engaged User. **Lower:** Trial Sign-ups, SQL Volume, CPA/MAC, LTV. |
| **Brand vs. Performance Marketing Measurement** | Brand metrics (like Brand Lift) are used to justify large-scale TV and Social awareness spending, while performance metrics (like ROAS) optimize day-to-day SEM and Retargeting campaigns. | Brand marketing focuses on establishing trust and authority in the commerce space (measured by **Thought Leadership** and **Brand Sentiment**), while performance drives direct **Trial Sign-ups** and **Paid Subscriptions**. |
