Level_1	Level_2	Level_3	Level_4	Level_5	Level_6
BIG DATA TECHNOLOGIES	Big Data Fundamentals	The 5 V's of Big Data	Volume	Petabyte Scale	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	The 5 V's of Big Data	Volume	Data Growth Rate	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	The 5 V's of Big Data	Volume	Storage Requirements	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	The 5 V's of Big Data	Volume	Processing Capacity	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	The 5 V's of Big Data	Velocity	Real-time Processing	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	The 5 V's of Big Data	Velocity	Streaming Data	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	The 5 V's of Big Data	Velocity	Response Time Requirements	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	The 5 V's of Big Data	Velocity	Batch vs Stream	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	The 5 V's of Big Data	Variety	Structured Data	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	The 5 V's of Big Data	Variety	Semi-Structured Data	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	The 5 V's of Big Data	Variety	Unstructured Data	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	The 5 V's of Big Data	Variety	Data Source Diversity	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	The 5 V's of Big Data	Veracity	Data Quality	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	The 5 V's of Big Data	Veracity	Data Reliability	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	The 5 V's of Big Data	Veracity	Uncertainty Management	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	The 5 V's of Big Data	Veracity	Trust & Validation	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	The 5 V's of Big Data	Value	Business Value Extraction	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	The 5 V's of Big Data	Value	ROI Considerations	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	The 5 V's of Big Data	Value	Monetization Strategies	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	The 5 V's of Big Data	Value	Analytics Insights	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	Distributed Computing Principles	Parallel Processing	Task Distribution	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	Distributed Computing Principles	Parallel Processing	Workload Partitioning	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	Distributed Computing Principles	Fault Tolerance	Replication	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	Distributed Computing Principles	Fault Tolerance	Recovery Mechanisms	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	Distributed Computing Principles	Scalability	Horizontal Scaling	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	Distributed Computing Principles	Scalability	Vertical Scaling	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	Distributed Computing Principles	Data Locality	Data Proximity	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	Distributed Computing Principles	Data Locality	Network Optimization	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	CAP Theorem	Consistency	Strong Consistency	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	CAP Theorem	Consistency	Eventual Consistency	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	CAP Theorem	Availability	High Availability	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	CAP Theorem	Availability	Uptime Requirements	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	CAP Theorem	Partition Tolerance	Network Partitions	
BIG DATA TECHNOLOGIES	Big Data Fundamentals	CAP Theorem	Partition Tolerance	System Resilience	
BIG DATA TECHNOLOGIES	Hadoop Ecosystem	Hadoop Core Components	HDFS	NameNode	
BIG DATA TECHNOLOGIES	Hadoop Ecosystem	Hadoop Core Components	HDFS	DataNode	
BIG DATA TECHNOLOGIES	Hadoop Ecosystem	Hadoop Core Components	HDFS	Block Storage	
BIG DATA TECHNOLOGIES	Hadoop Ecosystem	Hadoop Core Components	HDFS	Replication Factor	
BIG DATA TECHNOLOGIES	Hadoop Ecosystem	Hadoop Core Components	MapReduce	Map Phase	
BIG DATA TECHNOLOGIES	Hadoop Ecosystem	Hadoop Core Components	MapReduce	Shuffle & Sort	
BIG DATA TECHNOLOGIES	Hadoop Ecosystem	Hadoop Core Components	MapReduce	Reduce Phase	
BIG DATA TECHNOLOGIES	Hadoop Ecosystem	Hadoop Core Components	MapReduce	Job Execution	
BIG DATA TECHNOLOGIES	Hadoop Ecosystem	Hadoop Core Components	YARN	Resource Manager	
BIG DATA TECHNOLOGIES	Hadoop Ecosystem	Hadoop Core Components	YARN	Node Manager	
BIG DATA TECHNOLOGIES	Hadoop Ecosystem	Hadoop Core Components	YARN	Application Master	
BIG DATA TECHNOLOGIES	Hadoop Ecosystem	Hadoop Core Components	YARN	Container Management	
