Level 1	Level 2	Level 3	Level 4	Level 5	Level 6
Data Governance Foundations	Governance Framework	Framework Components	Vision & Strategy	Strategic Alignment	Business Objectives Alignment
Data Governance Foundations	Governance Framework	Framework Components	Vision & Strategy	Strategic Alignment	Enterprise Goals Integration
Data Governance Foundations	Governance Framework	Framework Components	Vision & Strategy	Strategic Alignment	Digital Transformation Support
Data Governance Foundations	Governance Framework	Framework Components	Vision & Strategy	Long-term Planning	Roadmap Development
Data Governance Foundations	Governance Framework	Framework Components	Vision & Strategy	Long-term Planning	Maturity Assessment
Data Governance Foundations	Governance Framework	Framework Components	Vision & Strategy	Long-term Planning	Phased Implementation
Data Governance Foundations	Governance Framework	Framework Components	Guiding Principles	Core Values	Transparency
Data Governance Foundations	Governance Framework	Framework Components	Guiding Principles	Core Values	Accountability
Data Governance Foundations	Governance Framework	Framework Components	Guiding Principles	Core Values	Collaboration
Data Governance Foundations	Governance Framework	Framework Components	Guiding Principles	Core Values	Trust
Data Governance Foundations	Governance Framework	Framework Components	Guiding Principles	Operating Principles	Data as Strategic Asset
Data Governance Foundations	Governance Framework	Framework Components	Guiding Principles	Operating Principles	Privacy by Design
Data Governance Foundations	Governance Framework	Framework Components	Guiding Principles	Operating Principles	Security First
Data Governance Foundations	Governance Framework	Framework Models	DAMA-DMBOK	Framework Overview	Knowledge Areas
Data Governance Foundations	Governance Framework	Framework Models	DAMA-DMBOK	Framework Overview	Principles
Data Governance Foundations	Governance Framework	Framework Models	DAMA-DMBOK	Framework Overview	Best Practices
Data Governance Foundations	Governance Framework	Framework Models	DAMA-DMBOK	Implementation	Maturity Model
Data Governance Foundations	Governance Framework	Framework Models	DAMA-DMBOK	Implementation	Assessment Methodology
Data Governance Foundations	Governance Framework	Framework Models	COBIT	IT Governance	Control Objectives
Data Governance Foundations	Governance Framework	Framework Models	COBIT	IT Governance	Process Framework
Data Governance Foundations	Governance Framework	Framework Models	COBIT	IT Governance	Maturity Models
Data Governance Foundations	Governance Framework	Framework Models	COBIT	Data Governance Integration	Alignment Practices
Data Governance Foundations	Governance Framework	Framework Models	COBIT	Data Governance Integration	Risk Management
Data Governance Foundations	Governance Framework	Framework Models	DCAM	Capability Assessment	Dimensions
Data Governance Foundations	Governance Framework	Framework Models	DCAM	Capability Assessment	Maturity Levels
