## Customer Journey Analytics

| Segment | Category | Metric Name | Description | Calculation/Formula | Strategic Value |
|---------|----------|-------------|-------------|-------------------|-----------------|
| Customer Journey Analytics | Awareness Stage | Brand Discovery Rate | Percentage of target audience discovering brand for first time | New visitors / Total target audience × 100 | Identifies top-of-funnel effectiveness |
| Customer Journey Analytics | Awareness Stage | Unaided Brand Recall | Percentage who remember brand without prompting | Survey respondents recalling brand / Total respondents × 100 | Measures brand penetration strength |
| Customer Journey Analytics | Awareness Stage | Search Query Volume | Number of branded and non-branded searches | Sum of search impressions across keywords | Indicates market demand and interest |
| Customer Journey Analytics | Awareness Stage | Share of Search | Brand's percentage of category search volume | Brand searches / Total category searches × 100 | Competitive awareness benchmark |
| Customer Journey Analytics | Consideration Stage | Consideration Rate | Percentage moving from awareness to consideration | Users engaging with consideration content / Total aware users × 100 | Funnel progression efficiency |
| Customer Journey Analytics | Consideration Stage | Content Engagement Depth | Average consideration content pieces consumed | Total content interactions / Unique considering users | Interest level indicator |
| Customer Journey Analytics | Consideration Stage | Comparison Shopping Rate | Percentage comparing with competitors | Users viewing comparison content / Total considering users × 100 | Competitive positioning effectiveness |
| Customer Journey Analytics | Consideration Stage | Review Engagement Rate | Interaction with reviews and ratings | Review page visits / Total consideration stage users × 100 | Trust-building effectiveness |
| Customer Journey Analytics | Evaluation Stage | Demo/Trial Request Rate | Percentage requesting product demonstrations | Demo requests / Total evaluation stage users × 100 | Purchase intent strength |
| Customer Journey Analytics | Evaluation Stage | Feature Investigation Rate | Detailed product feature exploration | Feature page engagement / Evaluation stage users × 100 | Product-market fit indicator |
| Customer Journey Analytics | Evaluation Stage | Pricing Page Conversion | Movement from pricing to next action | Actions from pricing page / Pricing page visitors × 100 | Price point acceptance |
| Customer Journey Analytics | Purchase Stage | Cart Abandonment Rate | Percentage abandoning purchase process | Abandoned carts / Total carts created × 100 | Friction point identifier |
| Customer Journey Analytics | Purchase Stage | Checkout Completion Rate | Successful purchase completions | Completed purchases / Checkout starts × 100 | Transaction process efficiency |
| Customer Journey Analytics | Purchase Stage | Payment Method Distribution | Breakdown of payment preferences | Payment method usage / Total transactions × 100 | Customer preference insights |
| Customer Journey Analytics | Purchase Stage | First Purchase Value | Initial transaction amount | Sum of first purchase amounts / New customers | New customer quality indicator |
| Customer Journey Analytics | Onboarding Stage | Activation Rate | Percentage completing key first actions | Activated users / Total new users × 100 | Early engagement success |
| Customer Journey Analytics | Onboarding Stage | Time to First Value | Duration until customer realizes benefit | Average days from purchase to first value action | Product stickiness predictor |
| Customer Journey Analytics | Onboarding Stage | Feature Adoption Rate | Initial feature usage patterns | Features used / Total available features × 100 | Product utilization depth |
| Customer Journey Analytics | Retention Stage | Repeat Purchase Rate | Percentage making subsequent purchases | Customers with 2+ purchases / Total customers × 100 | Loyalty development indicator |
| Customer Journey Analytics | Retention Stage | Customer Health Score | Composite retention likelihood indicator | Weighted sum of usage, satisfaction, and value metrics | Churn prevention priority |
| Customer Journey Analytics | Retention Stage | Engagement Frequency | Regular interaction patterns | Average interactions per user per time period | Relationship strength measure |
| Customer Journey Analytics | Advocacy Stage | Referral Generation Rate | Percentage becoming active advocates | Referring customers / Total satisfied customers × 100 | Organic growth potential |
| Customer Journey Analytics | Advocacy Stage | User Generated Content Rate | Customer content creation frequency | UGC creators / Total customers × 100 | Community engagement level |
| Customer Journey Analytics | Advocacy Stage | Net Promoter Score | Likelihood to recommend measurement | (Promoters - Detractors) / Total respondents × 100 | Advocacy potential gauge |
| Customer Journey Analytics | Cross-Journey | Journey Velocity | Speed through funnel stages | Average days from first touch to conversion | Process efficiency measure |
| Customer Journey Analytics | Cross-Journey | Stage Conversion Rates | Progression between each stage | Next stage entries / Current stage users × 100 | Funnel optimization targets |
| Customer Journey Analytics | Cross-Journey | Journey Complexity Score | Number of touchpoints required | Average touchpoints per conversion | Experience simplification needs |
| Customer Journey Analytics | Cross-Journey | Cross-Channel Journey Rate | Multi-channel interaction percentage | Multi-channel journeys / Total journeys × 100 | Omnichannel effectiveness |

## Digital Experience Analytics

| Segment | Category | Metric Name | Description | Calculation/Formula | Strategic Value |
|---------|----------|-------------|-------------|-------------------|-----------------|
| Digital Experience Analytics | Site Performance | Page Load Time | Average time to fully load pages | Total load time / Number of page loads | User experience quality |
| Digital Experience Analytics | Site Performance | Time to Interactive | When page becomes fully functional | Time until main thread is quiet for 5 seconds | Usability benchmark |
| Digital Experience Analytics | Site Performance | First Contentful Paint | Time to first visual content | Time from navigation start to first pixel painted | Perceived performance |
| Digital Experience Analytics | Site Performance | Cumulative Layout Shift | Visual stability during load | Sum of all individual layout shift scores | User frustration predictor |
| Digital Experience Analytics | Site Performance | Server Response Time | Backend processing duration | Time from request to first byte received | Infrastructure efficiency |
| Digital Experience Analytics | Navigation Behavior | Pages per Session | Average page views per visit | Total page views / Total sessions | Engagement depth indicator |
| Digital Experience Analytics | Navigation Behavior | Internal Search Usage Rate | Percentage using site search | Search users / Total users × 100 | Navigation efficiency needs |
| Digital Experience Analytics | Navigation Behavior | Exit Rate by Page | Where users leave the site | Exits from page / Total page views × 100 | Problem page identifier |
| Digital Experience Analytics | Navigation Behavior | Scroll Depth Distribution | How far users scroll on pages | Percentage of page scrolled by user segments | Content engagement measure |
