Category,Subcategory,Label_Type
1. Text Classification & Categorization,1.1 Sentiment Analysis,Polarity classification (positive/negative/neutral)
1. Text Classification & Categorization,1.1 Sentiment Analysis,"Emotion detection (joy, anger, sadness, fear, etc.)"
1. Text Classification & Categorization,1.1 Sentiment Analysis,Sarcasm detection
1. Text Classification & Categorization,1.1 Sentiment Analysis,Subjectivity vs objectivity
1. Text Classification & Categorization,1.1 Sentiment Analysis,Aspect-based sentiment (sentiment per product feature)
1. Text Classification & Categorization,1.1 Sentiment Analysis,Fine-grained sentiment (5-point scale)
1. Text Classification & Categorization,1.1 Sentiment Analysis,"Valence, arousal, dominance scores"
1. Text Classification & Categorization,1.2 Intent Classification,"User intent categories (informational, transactional, navigational)"
1. Text Classification & Categorization,1.2 Intent Classification,Question vs statement classification
1. Text Classification & Categorization,1.2 Intent Classification,Speech act classification
1. Text Classification & Categorization,1.2 Intent Classification,Query classification
1. Text Classification & Categorization,1.3 Topic & Document Classification,Topic labels/categories
1. Text Classification & Categorization,1.3 Topic & Document Classification,"Genre classification (news, blog, academic, review, etc.)"
1. Text Classification & Categorization,1.3 Topic & Document Classification,"Domain classification (sports, politics, technology, etc.)"
1. Text Classification & Categorization,1.3 Topic & Document Classification,Multi-label classification
1. Text Classification & Categorization,1.3 Topic & Document Classification,Hierarchical classification
1. Text Classification & Categorization,1.3 Topic & Document Classification,"Document type (invoice, contract, report, email, etc.)"
1. Text Classification & Categorization,1.4 Content Characteristics,Language identification
1. Text Classification & Categorization,1.4 Content Characteristics,Toxicity/hate speech classification
1. Text Classification & Categorization,1.4 Content Characteristics,Spam/not spam
1. Text Classification & Categorization,1.4 Content Characteristics,Formality level
1. Text Classification & Categorization,1.4 Content Characteristics,Reading level/grade level
1. Text Classification & Categorization,1.4 Content Characteristics,Fact vs opinion
2. Entity-Level Annotations,2.1 Named Entity Recognition (NER),Person names
2. Entity-Level Annotations,2.1 Named Entity Recognition (NER),Organizations
2. Entity-Level Annotations,2.1 Named Entity Recognition (NER),"Locations (GPE, facilities)"
2. Entity-Level Annotations,2.1 Named Entity Recognition (NER),Dates and times (temporal expressions)
2. Entity-Level Annotations,2.1 Named Entity Recognition (NER),Monetary values and percentages
2. Entity-Level Annotations,2.1 Named Entity Recognition (NER),Product names
2. Entity-Level Annotations,2.1 Named Entity Recognition (NER),Events
2. Entity-Level Annotations,2.1 Named Entity Recognition (NER),"Custom domain entities (medical terms, legal concepts, etc.)"
2. Entity-Level Annotations,2.2 Entity Attributes,Entity types/categories
2. Entity-Level Annotations,2.2 Entity Attributes,Entity linking (to knowledge base IDs)
2. Entity-Level Annotations,2.2 Entity Attributes,Entity disambiguation
2. Entity-Level Annotations,2.2 Entity Attributes,Coreference resolution chains
